"occurred_at","account_id","channel"
"2015-10-06 17:13:58",1001,"direct"
"2015-11-05 03:08:26",1001,"direct"
"2015-12-04 03:57:24",1001,"direct"
"2016-01-02 00:55:03",1001,"direct"
"2016-02-01 19:02:33",1001,"direct"
"2016-03-02 15:15:22",1001,"direct"
"2016-04-01 10:58:55",1001,"direct"
"2016-05-01 15:26:44",1001,"direct"
"2016-05-31 20:53:47",1001,"direct"
"2016-06-30 12:09:45",1001,"direct"
"2016-07-30 03:06:26",1001,"direct"
"2016-08-28 06:42:42",1001,"direct"
"2016-09-26 23:14:59",1001,"direct"
"2016-10-26 20:21:09",1001,"direct"
"2016-11-25 22:52:29",1001,"direct"
